flight_id,cycle_num,ts,phase,jpt1,ngg_rpm,ngg_pct,p2p1,oat,stepper_pos,fuel_flow_kgh,vibration,secu_healthy,bit_pass,mil_bus_word,status,fault_reason,flight_hour
7,1,0.0,cranking,166.4,0,0.0,1.003,13.8,0,0.0,0.258,1,1,0x0000,success,,0.0
7,1,1.0,cranking,158.1,0,0.0,1.0,13.5,0,0.0,0.233,1,1,0x0000,success,,0.0
7,1,2.0,cranking,187.7,244,1.11,1.021,14.3,2,0.074,0.254,1,1,0x0000,success,,0.0
7,1,3.0,cranking,190.3,660,3.0,1.04,13.9,6,0.235,0.251,1,1,0x0000,success,,0.0
7,1,4.0,cranking,223.2,1140,5.18,1.064,13.2,10,0.487,0.307,1,1,0x0000,success,,0.0
7,1,5.0,cranking,249.3,2121,9.64,1.089,14.2,19,0.688,0.482,1,1,0x0000,success,,0.0
7,1,6.0,cranking,277.1,2937,13.35,1.157,13.3,26,1.014,0.668,1,1,0x0000,success,,0.0
7,1,7.0,light-up,335.0,4088,18.58,1.286,13.8,37,1.526,0.295,1,1,0x0000,success,,0.0
7,1,8.0,light-up,369.0,5366,24.39,1.396,13.6,49,1.871,0.576,1,1,0x0000,success,,0.0
7,1,9.0,light-up,414.5,6565,29.84,1.543,13.6,60,2.372,0.791,1,1,0x0000,success,,0.0
7,1,10.0,light-up,449.5,7898,35.9,1.752,13.8,72,2.68,1.018,1,1,0x0000,success,,0.0
7,1,11.0,light-up,495.9,9071,41.23,1.913,14.5,83,3.205,0.904,1,1,0x0000,success,,0.0
7,1,12.0,light-up,591.9,10228,46.49,2.089,13.0,93,3.644,1.077,1,1,0x0000,success,,0.0
7,1,13.0,acceleration,748.4,11515,52.34,2.236,14.9,105,4.159,1.036,1,1,0x0000,success,,0.0
7,1,14.0,acceleration,860.6,13116,59.62,2.504,13.2,120,4.645,1.079,1,1,0x0000,success,,0.0
7,1,15.0,acceleration,903.4,14672,66.69,2.821,14.0,134,5.244,1.357,1,1,0x0000,success,,0.0
7,1,16.0,acceleration,919.7,15765,71.66,2.966,13.7,144,5.583,1.392,1,1,0x0000,success,,0.0
7,1,17.0,acceleration,949.4,16856,76.62,3.162,14.5,154,5.983,1.5,1,1,0x0000,success,,0.0
7,1,18.0,acceleration,934.2,17736,80.62,3.358,13.8,162,6.405,1.517,1,1,0x0000,success,,0.0
7,1,19.0,acceleration,928.1,18370,83.5,3.443,14.0,168,6.59,1.455,1,1,0x0000,success,,0.0
7,1,20.0,acceleration,929.2,18900,85.91,3.588,13.3,173,6.836,1.563,1,1,0x0000,success,,0.0
7,1,21.0,acceleration,917.4,19303,87.74,3.714,14.5,176,6.836,1.763,1,1,0x0000,success,,0.0
7,1,22.0,acceleration,918.3,19653,89.33,3.771,14.2,179,7.096,1.603,1,1,0x0000,success,,0.0
7,1,23.0,acceleration,912.8,19778,89.9,3.713,12.9,181,7.11,1.617,1,1,0x0000,success,,0.0
7,1,24.0,acceleration,904.3,19857,90.26,3.815,13.4,181,6.994,1.708,1,1,0x0000,success,,0.0
7,1,25.0,acceleration,885.8,19967,90.76,3.804,13.5,182,7.261,1.646,1,1,0x0000,success,,0.0
7,1,26.0,acceleration,891.1,20137,91.53,3.819,14.4,184,7.227,1.69,1,1,0x0000,success,,0.0
