flight_id,cycle_num,ts,phase,jpt1,ngg_rpm,ngg_pct,p2p1,oat,stepper_pos,fuel_flow_kgh,vibration,secu_healthy,bit_pass,mil_bus_word,status,fault_reason,flight_hour
4,1,0.0,cranking,171.3,59,0.27,1.003,8.8,0,0.135,0.279,0,0,0x0410,degraded,sensor-drift,0.0
4,1,1.0,cranking,195.3,196,0.89,1.0,9.1,1,0.054,0.244,0,0,0x0410,degraded,sensor-drift,0.0
4,1,2.0,cranking,184.9,308,1.4,1.018,8.8,2,0.083,0.342,0,0,0x0410,degraded,sensor-drift,0.0
4,1,3.0,cranking,184.1,638,2.9,1.0,8.7,5,0.341,0.286,0,0,0x0410,degraded,sensor-drift,0.0
4,1,4.0,cranking,213.6,999,4.54,1.048,8.4,9,0.339,0.333,0,0,0x0410,degraded,sensor-drift,0.0
4,1,5.0,cranking,238.1,1874,8.52,1.117,8.4,17,0.615,0.205,0,0,0x0410,degraded,sensor-drift,0.0
4,1,6.0,cranking,276.4,2781,12.64,1.171,8.3,25,0.969,0.584,0,0,0x0410,degraded,sensor-drift,0.0
4,1,7.0,light-up,311.1,3828,17.4,1.247,8.9,35,1.529,0.817,0,0,0x0410,degraded,sensor-drift,0.0
4,1,8.0,light-up,360.5,5034,22.88,1.382,8.4,46,1.761,0.65,0,0,0x0410,degraded,sensor-drift,0.0
4,1,9.0,light-up,383.7,6263,28.47,1.527,8.7,57,2.3,0.515,0,0,0x0410,degraded,sensor-drift,0.0
4,1,10.0,light-up,457.2,7412,33.69,1.671,8.3,67,2.705,0.75,0,0,0x0410,degraded,sensor-drift,0.0
4,1,11.0,light-up,482.1,8501,38.64,1.799,8.5,77,3.142,0.764,0,0,0x0410,degraded,sensor-drift,0.0
4,1,12.0,light-up,556.4,9733,44.24,1.981,9.0,89,3.428,1.119,0,0,0x0410,degraded,sensor-drift,0.0
4,1,13.0,light-up,668.9,10905,49.57,2.146,8.8,99,3.95,1.139,0,0,0x0410,degraded,sensor-drift,0.0
4,1,14.0,acceleration,814.9,12245,55.66,2.372,8.0,112,4.41,1.179,0,0,0x0410,degraded,sensor-drift,0.0
4,1,15.0,acceleration,874.4,13631,61.96,2.623,8.9,124,4.875,1.273,0,0,0x0410,degraded,sensor-drift,0.0
