flight_id,cycle_num,ts,phase,jpt1,ngg_rpm,ngg_pct,p2p1,oat,stepper_pos,fuel_flow_kgh,vibration,secu_healthy,bit_pass,mil_bus_word,status,fault_reason,flight_hour
2,1,0.0,cranking,178.5,15,0.07,1.005,13.0,0,0.0,0.241,1,1,0x0000,success,,0.0
2,1,1.0,cranking,195.4,55,0.25,1.005,12.9,0,0.0,0.172,1,1,0x0000,success,,0.0
2,1,2.0,cranking,184.3,293,1.33,1.0,12.8,2,0.116,0.277,1,1,0x0000,success,,0.0
2,1,3.0,cranking,215.7,728,3.31,1.019,12.5,6,0.262,0.224,1,1,0x0000,success,,0.0
2,1,4.0,cranking,229.5,1305,5.93,1.071,13.1,11,0.486,0.144,1,1,0x0000,success,,0.0
2,1,5.0,cranking,245.1,1901,8.64,1.09,13.1,17,0.674,0.272,1,1,0x0000,success,,0.0
2,1,6.0,cranking,277.8,2869,13.04,1.191,13.2,26,1.006,0.382,1,1,0x0000,success,,0.0
2,1,7.0,light-up,314.7,4011,18.23,1.289,13.0,36,1.429,0.447,1,1,0x0000,success,,0.0
2,1,8.0,light-up,371.3,5309,24.13,1.414,13.8,48,1.832,0.576,1,1,0x0000,success,,0.0
2,1,9.0,light-up,391.6,6545,29.75,1.558,12.9,59,2.352,0.725,1,1,0x0000,success,,0.0
2,1,10.0,light-up,429.1,7581,34.46,1.72,13.1,69,2.708,0.83,1,1,0x0000,success,,0.0
2,1,11.0,light-up,482.1,8875,40.34,1.833,13.0,81,3.114,0.897,1,1,0x0000,success,,0.0
2,1,12.0,light-up,573.1,10193,46.33,2.015,12.8,93,3.783,0.982,1,1,0x0000,success,,0.0
2,1,13.0,light-up,720.5,11264,51.2,2.228,12.4,103,4.048,0.824,1,1,0x0000,success,,0.0
2,1,14.0,acceleration,824.4,12784,58.11,2.443,12.9,117,4.637,1.099,1,1,0x0000,success,,0.0
2,1,15.0,acceleration,893.1,14368,65.31,2.768,12.5,131,5.199,1.062,1,1,0x0000,success,,0.0
2,1,16.0,acceleration,911.2,15618,70.99,2.995,13.0,143,5.649,1.248,1,1,0x0000,success,,0.0
2,1,17.0,acceleration,946.4,16414,74.61,3.073,13.7,150,5.854,2.518,1,1,0x0000,success,,0.0
2,1,18.0,acceleration,965.6,17767,80.76,3.322,13.3,162,6.355,1.451,1,1,0x0000,success,,0.0
2,1,19.0,acceleration,977.5,18251,82.96,3.459,13.1,167,6.51,1.632,1,1,0x0000,success,,0.0
2,1,20.0,acceleration,939.1,18729,85.13,3.572,13.1,171,6.809,1.628,1,1,0x0000,success,,0.0
2,1,21.0,acceleration,919.2,19279,87.63,3.654,13.4,176,6.887,1.556,1,1,0x0000,success,,0.0
2,1,22.0,acceleration,912.8,19466,88.48,3.729,13.2,178,7.063,1.421,1,1,0x0000,success,,0.0
2,1,23.0,acceleration,908.5,19754,89.79,3.815,12.9,180,7.065,1.68,1,1,0x0000,success,,0.0
2,1,24.0,acceleration,910.7,19844,90.2,3.789,12.9,181,7.171,1.587,1,1,0x0000,success,,0.0
2,1,25.0,acceleration,962.8,19798,89.99,3.723,13.1,181,7.094,1.583,1,1,0x0000,success,,0.0
2,1,26.0,acceleration,903.2,19958,90.72,3.83,13.7,182,7.259,1.586,1,1,0x0000,success,,0.0
2,1,27.0,self-sustaining,896.1,20033,91.06,3.828,12.9,183,7.236,1.563,1,1,0x0000,success,,0.0
2,1,28.0,self-sustaining,895.4,20203,91.83,3.832,13.6,184,7.152,1.747,1,1,0x0000,success,,0.0
2,1,29.0,self-sustaining,918.5,20170,91.68,3.866,13.3,184,7.175,1.575,1,1,0x0000,success,,0.0
